Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
Michael Thomas*+,NOR,25,WR,16,16,147,125,85.00%,1405,11.2,9,72,7.8,87.8,2
Zach Ertz*,PHI,28,TE,16,16,156,116,74.40%,1163,10,8,34,7.3,72.7,1
DeAndre Hopkins*+,HOU,26,WR,16,16,163,115,70.60%,1572,13.7,11,49,7.2,98.3,2
Julio Jones*,ATL,29,WR,16,16,170,113,66.50%,1677,14.8,8,58,7.1,104.8,2
Adam Thielen*,MIN,28,WR,16,16,153,113,73.90%,1373,12.2,9,68,7.1,85.8,1
Davante Adams*,GNB,26,WR,15,15,169,111,65.70%,1386,12.5,13,57,7.4,92.4,0
JuJu Smith-Schuster*,PIT,22,WR,16,13,166,111,66.90%,1426,12.8,7,97,6.9,89.1,1
Christian McCaffrey,CAR,22,RB,16,16,124,107,86.30%,867,8.1,6,38,6.7,54.2,4
Antonio Brown*,PIT,30,WR,15,15,168,104,61.90%,1297,12.5,15,78,6.9,86.5,0
Travis Kelce*+,KAN,29,TE,16,16,150,103,68.70%,1336,13,10,43,6.4,83.5,2
Stefon Diggs,MIN,25,WR,15,14,149,102,68.50%,1021,10,9,75,6.8,68.1,0
Keenan Allen*,LAC,26,WR,16,14,136,97,71.30%,1196,12.3,6,54,6.1,74.8,3
Saquon Barkley*,NYG,21,RB,16,16,121,91,75.20%,721,7.9,4,57,5.7,45.1,0
George Kittle*,SFO,25,TE,16,16,136,88,64.70%,1377,15.6,5,85,5.5,86.1,0
Tyreek Hill*+,KAN,24,WR,16,16,137,87,63.50%,1479,17,12,75,5.4,92.4,0
James White,NWE,26,rb,16,3,123,87,70.70%,751,8.6,7,42,5.4,46.9,0
Mike Evans*,TAM,25,WR,16,16,138,86,62.30%,1524,17.7,8,72,5.4,95.3,2
Robert Woods,LAR,26,WR,16,16,130,86,66.20%,1219,14.2,6,39,5.4,76.2,0
Alvin Kamara*,NOR,23,RB,15,13,105,81,77.10%,709,8.8,4,42,5.4,47.3,1
Jarvis Landry*,CLE,26,WR,16,14,149,81,54.40%,976,12,4,51,5.1,61,1
Brandin Cooks,LAR,25,WR,16,16,117,80,68.40%,1204,15.1,5,57,5,75.3,1
Odell Beckham,NYG,26,WR,12,12,124,77,62.10%,1052,13.7,6,51,6.4,87.7,2
Ezekiel Elliott*,DAL,23,RB,15,15,95,77,81.10%,567,7.4,3,38,5.1,37.8,6
